stem,gt_h,gt_w,lr_h,lr_w,gt_lag1_corr,degenerate
000000,256,256,128,128,0.992450,0
000001,256,256,128,128,0.989193,0
000002,256,256,128,128,0.988341,0
000003,256,256,128,128,0.987993,0
000004,256,256,128,128,0.881835,0
000005,256,256,128,128,0.814592,0
000006,256,256,128,128,0.820963,0
000007,256,256,128,128,0.818561,0
000008,256,256,128,128,0.904962,0
000009,256,256,128,128,0.952994,0
000010,256,256,128,128,0.962728,0
000011,256,256,128,128,0.949525,0
000012,256,256,128,128,0.991067,0
000013,256,256,128,128,0.946117,0
000014,256,256,128,128,0.952310,0
000015,256,256,128,128,0.947075,0
000016,256,256,128,128,0.970205,0
000017,256,256,128,128,0.906638,0
000018,256,256,128,128,0.907212,0
000019,256,256,128,128,0.904660,0
000020,256,256,128,128,0.996009,0
000021,256,256,128,128,0.973876,0
000022,256,256,128,128,0.972401,0
000023,256,256,128,128,0.972401,0
000024,256,256,128,128,0.757197,0
000025,256,256,128,128,0.819332,0
000026,256,256,128,128,0.818800,0
000027,256,256,128,128,0.818779,0
000028,256,256,128,128,0.979269,0
000029,256,256,128,128,0.954268,0
000030,256,256,128,128,0.950377,0
000031,256,256,128,128,0.954290,0
000032,256,256,128,128,0.989228,0
000033,256,256,128,128,0.975565,0
000034,256,256,128,128,0.984067,0
000035,256,256,128,128,0.976209,0
000036,256,256,128,128,0.968423,0
000037,256,256,128,128,0.985874,0
000038,256,256,128,128,0.984219,0
000039,256,256,128,128,0.985346,0
000040,256,256,128,128,0.940149,0
000041,256,256,128,128,0.961687,0
000042,256,256,128,128,0.963240,0
000043,256,256,128,128,0.965125,0
000044,256,256,128,128,0.879806,0
000045,256,256,128,128,0.948874,0
000046,256,256,128,128,0.950240,0
000047,256,256,128,128,0.939812,0
000048,256,256,128,128,0.983863,0
000049,256,256,128,128,0.049985,1
000050,256,256,128,128,0.048198,1
000051,256,256,128,128,0.046920,1
000052,256,256,128,128,0.865479,0
000053,256,256,128,128,0.947377,0
000054,256,256,128,128,0.944715,0
000055,256,256,128,128,0.951982,0
000056,256,256,128,128,0.965511,0
000057,256,256,128,128,0.986593,0
000058,256,256,128,128,0.987134,0
000059,256,256,128,128,0.986454,0
000060,256,256,128,128,0.978119,0
000061,256,256,128,128,0.978810,0
000062,256,256,128,128,0.978685,0
000063,256,256,128,128,0.979252,0
000064,256,256,128,128,0.986827,0
000065,256,256,128,128,0.954764,0
000066,256,256,128,128,0.955584,0
000067,256,256,128,128,0.944893,0
000068,256,256,128,128,0.983204,0
000069,256,256,128,128,0.989758,0
000070,256,256,128,128,0.988077,0
000071,256,256,128,128,0.989775,0
000072,256,256,128,128,0.968261,0
000073,256,256,128,128,0.970920,0
000074,256,256,128,128,0.967292,0
000075,256,256,128,128,0.967070,0
000076,256,256,128,128,0.987785,0
000077,256,256,128,128,0.977898,0
000078,256,256,128,128,0.949875,0
000079,256,256,128,128,0.971080,0
000080,256,256,128,128,0.907356,0
000081,256,256,128,128,0.957575,0
000082,256,256,128,128,0.963207,0
000083,256,256,128,128,0.963896,0
000084,256,256,128,128,0.899489,0
000085,256,256,128,128,0.879808,0
000086,256,256,128,128,0.849545,0
