epoch,train_l1,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
1,0.04333,0.0004996573836886434,41.6,27.334156,0.739738,0.034217,27.581088,0.752326,0.03193
2,0.034491,0.0004986304738420682,41.2,27.73607,0.749332,0.03292,27.994761,0.762205,0.030608
3,0.033631,0.0004969220851487844,43.8,27.79249,0.754543,0.032685,28.052825,0.767043,0.030378
4,0.033192,0.0004945369001834514,55.2,27.842511,0.756523,0.032483,28.104119,0.768823,0.030179
5,0.033092,0.0004914814565722671,53.0,27.932955,0.758836,0.032162,28.19697,0.771208,0.029856
6,0.032866,0.00048776412907378846,55.1,27.987009,0.76061,0.031956,28.252038,0.773078,0.029656
7,0.032774,0.00048339510662430044,53.7,27.981377,0.752322,0.032082,28.247998,0.765308,0.029762
8,0.032738,0.0004783863644106502,54.8,28.035722,0.759919,0.0318,28.301157,0.77242,0.029508
9,0.03256,0.00047275163104709196,57.4,28.048693,0.762405,0.031788,28.315085,0.774893,0.029489
10,0.032518,0.00046650635094610973,55.1,28.059574,0.760245,0.031742,28.32661,0.772899,0.029444
11,0.032516,0.00045966764198635603,53.3,28.089661,0.762026,0.031648,28.356019,0.774471,0.02936
12,0.032479,0.0004522542485937369,51.8,28.064575,0.763799,0.031674,28.330839,0.77631,0.029386
13,0.032393,0.00044428649036424276,53.7,28.013166,0.756083,0.031973,28.27887,0.7687,0.029676
14,0.03241,0.0004357862063693486,52.5,28.137556,0.763386,0.031486,28.406721,0.776071,0.029178
15,0.032351,0.00042677669529663696,56.8,28.121431,0.757896,0.031617,28.389157,0.770755,0.029324
16,0.032314,0.0004172826515897146,56.0,28.067036,0.755676,0.031809,28.333907,0.768713,0.029515
17,0.03234,0.00040733009776245933,54.6,28.112078,0.762816,0.031575,28.378594,0.775298,0.029292
18,0.032222,0.00039694631307311834,54.4,28.125486,0.76288,0.031497,28.392886,0.775273,0.029204
19,0.032218,0.0003861597587537568,54.0,28.071731,0.761626,0.031683,28.337594,0.773921,0.0294
20,0.03217,0.000375,54.0,28.177808,0.76487,0.031348,28.447519,0.777523,0.02905
21,0.032114,0.00036349762493488667,53.9,28.135599,0.765856,0.031444,28.40336,0.77835,0.029151
22,0.032077,0.0003516841607689501,54.2,28.192267,0.763514,0.031336,28.461262,0.77623,0.02905
23,0.032054,0.00033959198738632514,54.0,28.196402,0.763436,0.031354,28.467651,0.776355,0.029041
24,0.032032,0.00032725424859373687,53.8,28.222174,0.763824,0.031237,28.490858,0.776486,0.028957
25,0.031986,0.00031470476127563017,54.0,28.191123,0.764525,0.031314,28.460078,0.777187,0.029027
26,0.032086,0.00030197792270443975,55.4,28.200284,0.76333,0.031306,28.469482,0.776117,0.02902
27,0.031931,0.0002891086162600577,55.6,28.251726,0.765236,0.031143,28.52176,0.777943,0.028857
28,0.031918,0.00027613211581691336,55.3,28.231559,0.763373,0.031266,28.501304,0.776304,0.028969
29,0.03188,0.00026308398906073593,55.5,28.242256,0.765337,0.031169,28.511762,0.777872,0.028888
30,0.031863,0.00025000000000000006,55.6,28.247038,0.766902,0.031125,28.516762,0.779487,0.028846
31,0.031805,0.00023691601093926408,57.0,28.271429,0.766963,0.031055,28.541275,0.77951,0.028774
32,0.031798,0.00022386788418308668,56.3,28.26152,0.766663,0.031093,28.532511,0.779424,0.028801
33,0.031764,0.0002108913837399423,55.7,28.285507,0.765647,0.031036,28.557126,0.778581,0.028741
34,0.031771,0.00019802207729556018,55.9,28.267586,0.763996,0.031106,28.539071,0.776883,0.028808
35,0.031722,0.00018529523872436987,59.0,28.293042,0.767297,0.030997,28.563942,0.779903,0.028716
36,0.031752,0.0001727457514062632,55.5,28.295939,0.764464,0.031041,28.567481,0.777355,0.02875
37,0.031672,0.00016040801261367496,54.8,28.288153,0.769011,0.031002,28.558665,0.781537,0.028723
38,0.031672,0.00014831583923105002,54.5,28.303296,0.767559,0.030976,28.57305,0.779956,0.028705
39,0.031657,0.00013650237506511334,54.6,28.298421,0.762964,0.031046,28.569899,0.775929,0.028756
40,0.031627,0.00012500000000000008,54.3,28.323162,0.768001,0.030908,28.594328,0.780651,0.028628
41,0.031649,0.00011384024124624333,54.7,28.265644,0.769884,0.031029,28.535318,0.782208,0.028753
42,0.031625,0.00010305368692688177,54.5,28.324629,0.768691,0.030889,28.596744,0.781379,0.028598
43,0.031591,9.26699022375407e-05,54.2,28.293168,0.769821,0.030953,28.56294,0.782253,0.028682
44,0.031575,8.271734841028555e-05,54.4,28.313999,0.769841,0.030893,28.584356,0.782243,0.028622
45,0.031559,7.322330470336315e-05,54.5,28.325834,0.76921,0.030869,28.597258,0.781805,0.028587
46,0.031535,6.421379363065152e-05,54.4,28.342591,0.769087,0.030834,28.614556,0.78169,0.028552
47,0.031526,5.5713509635757295e-05,54.4,28.319755,0.770367,0.030865,28.590743,0.782783,0.028589
48,0.031517,4.774575140626318e-05,54.8,28.347361,0.768921,0.030824,28.619187,0.781531,0.028543
49,0.031501,4.0332358013644026e-05,55.0,28.335381,0.768142,0.030861,28.607015,0.78083,0.028581
50,0.031496,3.349364905389033e-05,57.1,28.353297,0.767793,0.030824,28.625375,0.780547,0.028541
51,0.031487,2.724836895290806e-05,55.2,28.349403,0.768201,0.030821,28.621455,0.780858,0.02854
