epoch,train_l1,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
1,0.03717,0.0004996573836886434,43.9,27.564442,0.749376,0.033466,27.818227,0.762461,0.031155
2,0.033808,0.0004986304738420682,44.4,27.854724,0.757135,0.032523,28.115332,0.769726,0.030213
3,0.032807,0.0004969220851487844,52.9,28.193109,0.763205,0.031596,28.463036,0.775824,0.029277
4,0.032094,0.0004945369001834514,57.7,28.284081,0.769259,0.031268,28.557044,0.781813,0.028946
5,0.031641,0.0004914814565722671,55.4,28.444141,0.771091,0.030751,28.71897,0.783802,0.02845
6,0.03138,0.00048776412907378846,55.4,28.499127,0.774646,0.030659,28.777878,0.786969,0.028331
7,0.031215,0.00048339510662430044,53.9,28.54256,0.770813,0.030502,28.819646,0.78349,0.028208
8,0.031038,0.0004783863644106502,53.1,28.570846,0.772825,0.030346,28.845385,0.785327,0.028086
9,0.030953,0.00047275163104709196,54.5,28.605313,0.776263,0.030249,28.880492,0.788148,0.027997
10,0.030852,0.00046650635094610973,52.9,28.631416,0.774585,0.03016,28.905756,0.786762,0.027912
11,0.030737,0.00045966764198635603,52.7,28.653195,0.777645,0.030053,28.928756,0.789772,0.027805
12,0.030669,0.0004522542485937369,52.9,28.647756,0.771586,0.030093,28.924266,0.784064,0.027833
13,0.030596,0.00044428649036424276,53.3,28.719179,0.776597,0.029938,28.996374,0.789034,0.027684
14,0.030491,0.0004357862063693486,51.9,28.721623,0.776272,0.029884,29.001707,0.788797,0.027614
15,0.030493,0.00042677669529663696,51.9,28.711086,0.778106,0.029922,28.988973,0.790339,0.02767
16,0.030463,0.0004172826515897146,51.7,28.757325,0.778494,0.0298,29.03571,0.790942,0.02755
17,0.03034,0.00040733009776245933,53.7,28.771249,0.78146,0.029691,29.050373,0.793438,0.027427
18,0.030335,0.00039694631307311834,58.3,28.782815,0.778507,0.029693,29.061785,0.791032,0.027439
19,0.030272,0.0003861597587537568,59.4,28.797145,0.77941,0.029608,29.074847,0.791518,0.027369
20,0.030277,0.000375,63.2,28.797979,0.782738,0.029614,29.075726,0.794641,0.02738
21,0.030197,0.00036349762493488667,60.5,28.82281,0.781193,0.02956,29.10195,0.793483,0.027319
22,0.030158,0.0003516841607689501,60.4,28.850358,0.782206,0.029452,29.128509,0.794107,0.027222
23,0.030097,0.00033959198738632514,58.9,28.849025,0.782271,0.029465,29.127345,0.794162,0.027236
24,0.030099,0.00032725424859373687,61.0,28.818743,0.781958,0.029546,29.096243,0.79397,0.027318
25,0.030097,0.00031470476127563017,61.4,28.868056,0.781747,0.029409,29.148078,0.793948,0.027169
26,0.030016,0.00030197792270443975,63.7,28.872167,0.781699,0.029393,29.152084,0.794026,0.027152
27,0.029977,0.0002891086162600577,61.8,28.884532,0.782167,0.029387,29.165865,0.794823,0.027135
28,0.029947,0.00027613211581691336,55.8,28.878018,0.781806,0.029379,29.157751,0.794091,0.027141
29,0.029932,0.00026308398906073593,58.8,28.886341,0.782669,0.029344,29.167315,0.795108,0.0271
30,0.029896,0.00025000000000000006,57.4,28.897198,0.783314,0.029291,29.176774,0.795219,0.027063
31,0.029876,0.00023691601093926408,55.7,28.911552,0.784527,0.029261,29.190924,0.796335,0.027039
32,0.029848,0.00022386788418308668,56.8,28.910357,0.783673,0.029268,29.18952,0.795569,0.027046
33,0.029823,0.0002108913837399423,56.2,28.905211,0.782493,0.029267,29.184473,0.79436,0.027034
34,0.02981,0.00019802207729556018,55.0,28.897294,0.783481,0.029264,29.17551,0.79504,0.027048
35,0.029794,0.00018529523872436987,57.4,28.922151,0.783327,0.029243,29.203384,0.79555,0.027007
36,0.029753,0.0001727457514062632,56.7,28.934465,0.786035,0.029165,29.214422,0.797849,0.026941
37,0.029737,0.00016040801261367496,56.2,28.927878,0.784101,0.029196,29.207011,0.795785,0.02698
38,0.029693,0.00014831583923105002,61.2,28.945073,0.785969,0.029135,29.22487,0.797594,0.026919
39,0.029678,0.00013650237506511334,63.2,28.944056,0.783537,0.02917,29.22549,0.795953,0.026927
40,0.029674,0.00012500000000000008,61.5,28.951019,0.786427,0.029107,29.230717,0.798156,0.026891
41,0.029654,0.00011384024124624333,60.8,28.952589,0.785372,0.029125,29.232118,0.797084,0.026911
42,0.029628,0.00010305368692688177,60.9,28.955882,0.786564,0.029123,29.235346,0.798256,0.026911
43,0.029613,9.26699022375407e-05,58.4,28.972679,0.784886,0.029067,29.253313,0.796878,0.026846
44,0.029584,8.271734841028555e-05,55.1,28.972225,0.786743,0.029025,29.252169,0.798339,0.026812
45,0.029574,7.322330470336315e-05,56.0,28.980142,0.786489,0.029032,29.26049,0.798264,0.026817
46,0.029557,6.421379363065152e-05,60.3,28.982038,0.786692,0.02902,29.262541,0.798497,0.026805
47,0.029537,5.5713509635757295e-05,62.6,28.977551,0.785449,0.029022,29.258419,0.797383,0.026802
48,0.029524,4.774575140626318e-05,62.4,28.987935,0.786946,0.028995,29.268709,0.798769,0.026779
49,0.029508,4.0332358013644026e-05,62.1,28.985409,0.786669,0.028986,29.265662,0.798335,0.026774
50,0.029505,3.349364905389033e-05,60.5,28.990275,0.785772,0.028986,29.2711,0.797575,0.026771
51,0.029498,2.724836895290806e-05,62.9,28.990064,0.785818,0.028983,29.271008,0.797723,0.026765
52,0.029483,2.161363558934976e-05,61.2,28.992755,0.786893,0.028971,29.273317,0.798588,0.026759
53,0.02947,1.6604893375699568e-05,65.4,28.996522,0.787016,0.028956,29.276879,0.798668,0.026745
54,0.029467,1.2235870926211619e-05,58.3,28.997845,0.786698,0.028958,29.278613,0.798437,0.026745
55,0.029462,8.518543427732923e-06,56.0,28.999892,0.787186,0.028949,29.280325,0.798814,0.026739
56,0.029462,5.463099816548579e-06,54.8,29.000536,0.786764,0.02895,29.281161,0.798467,0.026738
57,0.029455,3.077914851215586e-06,57.0,29.001464,0.786713,0.028947,29.282082,0.798423,0.026735
58,0.029455,1.3695261579316502e-06,58.0,29.00076,0.78663,0.028948,29.281344,0.798339,0.026737
59,0.029451,3.4261631135654184e-07,62.1,29.002463,0.787009,0.028944,29.283082,0.798707,0.026733
60,0.029454,0.0,59.4,29.00246,0.786969,0.028943,29.283087,0.798669,0.026732
