epoch,train_l1,train_loss,train_ssim,train_lpips,lr,epoch_s,psnr_all,ssim_all,l1_all,psnr_clean,ssim_clean,l1_clean
1,0.038203,0.115435,0.698477,0.320042,0.0004996573836886434,63.2,27.381131,0.74112,0.034091,27.628434,0.75349,0.031813
2,0.034665,0.098997,0.737319,0.249292,0.0004986304738420682,66.0,27.603564,0.752572,0.033355,27.857883,0.764576,0.031065
3,0.034188,0.095342,0.743481,0.226763,0.0004969220851487844,82.7,27.572512,0.753422,0.033569,27.82605,0.76529,0.031288
4,0.033891,0.093445,0.746565,0.215387,0.0004945369001834514,77.5,27.736093,0.756374,0.032989,27.991562,0.768339,0.030732
5,0.033543,0.091884,0.749499,0.207661,0.0004914814565722671,74.9,27.885565,0.761664,0.032454,28.147254,0.773844,0.03017
6,0.033244,0.090569,0.752801,0.202449,0.00048776412907378846,75.0,28.024263,0.764272,0.032006,28.288466,0.775913,0.029733
7,0.032857,0.088931,0.756585,0.195627,0.00048339510662430044,74.9,27.831168,0.759367,0.032848,28.093726,0.769791,0.030574
8,0.032697,0.088268,0.758214,0.193027,0.0004783863644106502,74.8,28.188408,0.768418,0.03161,28.454489,0.779766,0.029353
9,0.03244,0.087067,0.760805,0.187478,0.00047275163104709196,71.9,28.15796,0.767111,0.031679,28.423574,0.778735,0.029425
10,0.032311,0.086564,0.76206,0.185622,0.00046650635094610973,68.9,28.239221,0.766371,0.031432,28.50641,0.778637,0.029181
11,0.03219,0.086159,0.763074,0.184299,0.00045966764198635603,68.8,28.236524,0.769493,0.031523,28.503726,0.78069,0.029284
12,0.032067,0.08532,0.764642,0.179499,0.0004522542485937369,68.4,28.18652,0.766638,0.03167,28.45431,0.777937,0.029407
13,0.03199,0.085139,0.764944,0.178905,0.00044428649036424276,68.2,28.32017,0.773706,0.031314,28.590596,0.784524,0.029061
14,0.031899,0.084479,0.766438,0.175462,0.0004357862063693486,68.2,28.361119,0.77542,0.03114,28.631544,0.786383,0.028897
15,0.031839,0.084407,0.766828,0.175918,0.00042677669529663696,68.2,28.312685,0.774325,0.03133,28.580097,0.785526,0.029103
16,0.031826,0.084192,0.767238,0.174522,0.0004172826515897146,67.9,28.473699,0.778184,0.030747,28.746734,0.789333,0.028501
17,0.031712,0.083661,0.768405,0.1721,0.00040733009776245933,67.5,28.413266,0.775801,0.03092,28.682546,0.786972,0.028691
18,0.031703,0.083661,0.76811,0.171747,0.00039694631307311834,67.7,28.424164,0.77615,0.030935,28.695492,0.78698,0.028695
19,0.031645,0.083301,0.768924,0.169945,0.0003861597587537568,67.2,28.444738,0.776797,0.030782,28.716959,0.787844,0.028534
20,0.031618,0.083403,0.768921,0.171238,0.000375,67.3,28.36054,0.775086,0.031152,28.630929,0.78564,0.028915
21,0.03154,0.082776,0.770046,0.167425,0.00036349762493488667,67.5,28.446831,0.773861,0.030816,28.716332,0.78555,0.028588
22,0.031519,0.082749,0.770025,0.167335,0.0003516841607689501,67.5,28.440353,0.778679,0.030869,28.712151,0.789619,0.028635
23,0.031473,0.082389,0.770796,0.16536,0.00033959198738632514,67.5,28.511285,0.780284,0.030639,28.784933,0.790987,0.028399
24,0.031415,0.082154,0.771208,0.164199,0.00032725424859373687,67.6,28.42201,0.776891,0.030932,28.692725,0.787455,0.028704
25,0.031368,0.081982,0.771453,0.163318,0.00031470476127563017,67.6,28.420695,0.775892,0.03089,28.690602,0.786866,0.028669
26,0.031359,0.081922,0.771546,0.16295,0.00030197792270443975,67.3,28.494159,0.779479,0.030716,28.768197,0.789967,0.028468
27,0.031328,0.081661,0.772242,0.161695,0.0002891086162600577,67.1,28.515803,0.779187,0.030629,28.78991,0.789551,0.028384
28,0.031289,0.081425,0.772619,0.160291,0.00027613211581691336,67.2,28.569003,0.782356,0.030467,28.843405,0.793118,0.028231
29,0.031244,0.081189,0.773089,0.159089,0.00026308398906073593,67.6,28.485595,0.779713,0.030772,28.756359,0.790643,0.028555
30,0.031221,0.081038,0.773328,0.158163,0.00025000000000000006,69.6,28.51436,0.779811,0.030603,28.78674,0.790534,0.028375
31,0.031191,0.080917,0.773727,0.157851,0.00023691601093926408,69.6,28.503273,0.779344,0.030679,28.775833,0.790054,0.028449
32,0.031202,0.080816,0.773743,0.156753,0.00022386788418308668,68.7,28.533804,0.781344,0.030609,28.809151,0.791751,0.028359
33,0.031155,0.080653,0.774031,0.156022,0.0002108913837399423,68.1,28.609497,0.782709,0.03033,28.885864,0.793267,0.02808
34,0.031126,0.080495,0.77434,0.155193,0.00019802207729556018,68.0,28.497935,0.779239,0.030633,28.769889,0.789937,0.028405
35,0.031087,0.080255,0.774703,0.153739,0.00018529523872436987,67.7,28.643637,0.783181,0.030222,28.918564,0.794056,0.027996
36,0.031061,0.080144,0.77493,0.153232,0.0001727457514062632,67.6,28.620572,0.780774,0.030254,28.89488,0.791971,0.028028
37,0.031061,0.0801,0.775159,0.153127,0.00016040801261367496,67.6,28.588689,0.78107,0.030392,28.862454,0.791774,0.02817
38,0.031021,0.079844,0.775574,0.151594,0.00014831583923105002,67.7,28.615607,0.781675,0.030333,28.890674,0.792341,0.028103
39,0.031008,0.079753,0.775573,0.150808,0.00013650237506511334,67.8,28.679777,0.783282,0.030068,28.955138,0.794282,0.027844
40,0.030966,0.079583,0.775975,0.150124,0.00012500000000000008,67.7,28.569544,0.781847,0.030452,28.843054,0.792516,0.028228
41,0.030971,0.079373,0.776195,0.148317,0.00011384024124624333,67.6,28.620438,0.783967,0.030314,28.896412,0.794554,0.028077
42,0.030947,0.079369,0.776183,0.148489,0.00010305368692688177,67.5,28.628354,0.782968,0.030247,28.903587,0.7935,0.028018
43,0.030941,0.079372,0.776227,0.148648,9.26699022375407e-05,67.5,28.608101,0.781593,0.03035,28.882959,0.792247,0.02812
44,0.030922,0.079189,0.776614,0.147589,8.271734841028555e-05,67.5,28.627078,0.783375,0.030311,28.903186,0.79397,0.028077
45,0.030903,0.079006,0.776856,0.146313,7.322330470336315e-05,67.4,28.662935,0.783917,0.030165,28.93837,0.794722,0.02794
